País de Nacimiento,Español/Extranjero,Sexo,Año,Total
Costa Rica,Nacionalidad Española,Ambos sexos,1998,603
Costa Rica,Nacionalidad Española,Hombres,2022,1.110
Costa Rica,Nacionalidad Española,Hombres,2021,1.063
Costa Rica,Nacionalidad Española,Hombres,2020,999
Costa Rica,Nacionalidad Española,Hombres,2019,941
Costa Rica,Nacionalidad Española,Hombres,2018,886
Costa Rica,Nacionalidad Española,Hombres,2017,852
Costa Rica,Nacionalidad Española,Hombres,2016,798
Costa Rica,Nacionalidad Española,Hombres,2015,762
Costa Rica,Nacionalidad Española,Hombres,2014,730
Costa Rica,Nacionalidad Española,Hombres,2013,677
Costa Rica,Nacionalidad Española,Hombres,2012,653
Costa Rica,Nacionalidad Española,Hombres,2011,637
Costa Rica,Nacionalidad Española,Hombres,2010,596
Costa Rica,Nacionalidad Española,Hombres,2009,576
Costa Rica,Nacionalidad Española,Hombres,2008,550
Costa Rica,Nacionalidad Española,Hombres,2007,511
Costa Rica,Nacionalidad Española,Hombres,2006,494
Costa Rica,Nacionalidad Española,Hombres,2005,441
Costa Rica,Nacionalidad Española,Hombres,2004,422
Costa Rica,Nacionalidad Española,Hombres,2003,392
Costa Rica,Nacionalidad Española,Hombres,2002,372
Costa Rica,Nacionalidad Española,Hombres,2001,339
Costa Rica,Nacionalidad Española,Hombres,2000,322
Costa Rica,Nacionalidad Española,Hombres,1999,275
Costa Rica,Nacionalidad Española,Hombres,1998,268
Costa Rica,Nacionalidad Española,Mujeres,2022,1.322
Costa Rica,Nacionalidad Española,Mujeres,2021,1.237
Costa Rica,Nacionalidad Española,Mujeres,2020,1.154
Costa Rica,Nacionalidad Española,Mujeres,2019,1.089
Costa Rica,Nacionalidad Española,Mujeres,2018,1.024
Costa Rica,Nacionalidad Española,Mujeres,2017,988
Costa Rica,Nacionalidad Española,Mujeres,2016,932
Costa Rica,Nacionalidad Española,Mujeres,2015,898
Costa Rica,Nacionalidad Española,Mujeres,2014,853
Costa Rica,Nacionalidad Española,Mujeres,2013,799
Costa Rica,Nacionalidad Española,Mujeres,2012,774
Costa Rica,Nacionalidad Española,Mujeres,2011,743
Costa Rica,Nacionalidad Española,Mujeres,2010,702
Costa Rica,Nacionalidad Española,Mujeres,2009,661
Costa Rica,Nacionalidad Española,Mujeres,2008,632
Costa Rica,Nacionalidad Española,Mujeres,2007,594
Costa Rica,Nacionalidad Española,Mujeres,2006,571
Costa Rica,Nacionalidad Española,Mujeres,2005,542
Costa Rica,Nacionalidad Española,Mujeres,2004,512
Costa Rica,Nacionalidad Española,Mujeres,2003,471
Costa Rica,Nacionalidad Española,Mujeres,2002,437
Costa Rica,Nacionalidad Española,Mujeres,2001,411
Costa Rica,Nacionalidad Española,Mujeres,2000,380
Costa Rica,Nacionalidad Española,Mujeres,1999,334
Costa Rica,Nacionalidad Española,Mujeres,1998,335
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2022,3.372
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2021,3.323
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2020,3.450
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2019,3.062
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2018,2.735
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2017,2.431
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2016,2.080
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2015,1.908
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2014,1.968
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2013,2.075
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2012,2.047
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2011,1.950
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2010,1.950
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2009,1.910
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2008,1.701
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2007,1.370
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2006,1.308
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2005,1.271
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2004,1.012
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2003,982
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2002,692
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2001,528
Costa Rica,Nacionalidad Extranjera,Ambos sexos,2000,407
Costa Rica,Nacionalidad Extranjera,Ambos sexos,1999,351
Costa Rica,Nacionalidad Extranjera,Ambos sexos,1998,318
Costa Rica,Nacionalidad Extranjera,Hombres,2022,1.470
Costa Rica,Nacionalidad Extranjera,Hombres,2021,1.461
Costa Rica,Nacionalidad Extranjera,Hombres,2020,1.531
Costa Rica,Nacionalidad Extranjera,Hombres,2019,1.339
Costa Rica,Nacionalidad Extranjera,Hombres,2018,1.189
Costa Rica,Nacionalidad Extranjera,Hombres,2017,1.057
Costa Rica,Nacionalidad Extranjera,Hombres,2016,907
Costa Rica,Nacionalidad Extranjera,Hombres,2015,839
Costa Rica,Nacionalidad Extranjera,Hombres,2014,882
Costa Rica,Nacionalidad Extranjera,Hombres,2013,923
Costa Rica,Nacionalidad Extranjera,Hombres,2012,924
Costa Rica,Nacionalidad Extranjera,Hombres,2011,904
Costa Rica,Nacionalidad Extranjera,Hombres,2010,894
Costa Rica,Nacionalidad Extranjera,Hombres,2009,896
Costa Rica,Nacionalidad Extranjera,Hombres,2008,811
Costa Rica,Nacionalidad Extranjera,Hombres,2007,638
Costa Rica,Nacionalidad Extranjera,Hombres,2006,589
Costa Rica,Nacionalidad Extranjera,Hombres,2005,576
Costa Rica,Nacionalidad Extranjera,Hombres,2004,454
Costa Rica,Nacionalidad Extranjera,Hombres,2003,438
Costa Rica,Nacionalidad Extranjera,Hombres,2002,311
Costa Rica,Nacionalidad Extranjera,Hombres,2001,227
Costa Rica,Nacionalidad Extranjera,Hombres,2000,170
Costa Rica,Nacionalidad Extranjera,Hombres,1999,140
Costa Rica,Nacionalidad Extranjera,Hombres,1998,131
Costa Rica,Nacionalidad Extranjera,Mujeres,2022,1.902
Costa Rica,Nacionalidad Extranjera,Mujeres,2021,1.862
Costa Rica,Nacionalidad Extranjera,Mujeres,2020,1.919
Costa Rica,Nacionalidad Extranjera,Mujeres,2019,1.723
Costa Rica,Nacionalidad Extranjera,Mujeres,2018,1.546
Costa Rica,Nacionalidad Extranjera,Mujeres,2017,1.374
Costa Rica,Nacionalidad Extranjera,Mujeres,2016,1.173
Costa Rica,Nacionalidad Extranjera,Mujeres,2015,1.069
Costa Rica,Nacionalidad Extranjera,Mujeres,2014,1.086
Costa Rica,Nacionalidad Extranjera,Mujeres,2013,1.152
Costa Rica,Nacionalidad Extranjera,Mujeres,2012,1.123
Costa Rica,Nacionalidad Extranjera,Mujeres,2011,1.046
Costa Rica,Nacionalidad Extranjera,Mujeres,2010,1.056
Costa Rica,Nacionalidad Extranjera,Mujeres,2009,1.014
Costa Rica,Nacionalidad Extranjera,Mujeres,2008,890
Costa Rica,Nacionalidad Extranjera,Mujeres,2007,732
Costa Rica,Nacionalidad Extranjera,Mujeres,2006,719
Costa Rica,Nacionalidad Extranjera,Mujeres,2005,695
Costa Rica,Nacionalidad Extranjera,Mujeres,2004,558
Costa Rica,Nacionalidad Extranjera,Mujeres,2003,544
Costa Rica,Nacionalidad Extranjera,Mujeres,2002,381
Costa Rica,Nacionalidad Extranjera,Mujeres,2001,301
Costa Rica,Nacionalidad Extranjera,Mujeres,2000,237
Costa Rica,Nacionalidad Extranjera,Mujeres,1999,211
Costa Rica,Nacionalidad Extranjera,Mujeres,1998,187
Cuba,TOTAL,Ambos sexos,2022,176.800
Cuba,TOTAL,Ambos sexos,2021,166.527
Cuba,TOTAL,Ambos sexos,2020,164.853
Cuba,TOTAL,Ambos sexos,2019,151.423
Cuba,TOTAL,Ambos sexos,2018,141.348
Cuba,TOTAL,Ambos sexos,2017,136.747
Cuba,TOTAL,Ambos sexos,2016,134.003
Cuba,TOTAL,Ambos sexos,2015,131.245
Cuba,TOTAL,Ambos sexos,2014,128.641
Cuba,TOTAL,Ambos sexos,2013,125.152
Cuba,TOTAL,Ambos sexos,2012,120.296
Cuba,TOTAL,Ambos sexos,2011,111.185
Cuba,TOTAL,Ambos sexos,2010,104.492
Cuba,TOTAL,Ambos sexos,2009,100.451
Cuba,TOTAL,Ambos sexos,2008,92.583
Cuba,TOTAL,Ambos sexos,2007,83.121
Cuba,TOTAL,Ambos sexos,2006,79.228
Cuba,TOTAL,Ambos sexos,2005,76.525
Cuba,TOTAL,Ambos sexos,2004,69.048
Cuba,TOTAL,Ambos sexos,2003,65.737
Cuba,TOTAL,Ambos sexos,2002,57.669
Cuba,TOTAL,Ambos sexos,2001,49.090
Cuba,TOTAL,Ambos sexos,2000,40.637
Cuba,TOTAL,Ambos sexos,1999,34.051
Cuba,TOTAL,Ambos sexos,1998,31.223
Cuba,TOTAL,Hombres,2022,80.105
Cuba,TOTAL,Hombres,2021,75.372
Cuba,TOTAL,Hombres,2020,74.461
Cuba,TOTAL,Hombres,2019,67.827
Cuba,TOTAL,Hombres,2018,62.909
Cuba,TOTAL,Hombres,2017,60.728
Cuba,TOTAL,Hombres,2016,59.688
Cuba,TOTAL,Hombres,2015,58.697
Cuba,TOTAL,Hombres,2014,57.779
Cuba,TOTAL,Hombres,2013,56.414
Cuba,TOTAL,Hombres,2012,54.350
Cuba,TOTAL,Hombres,2011,50.103
Cuba,TOTAL,Hombres,2010,47.032
Cuba,TOTAL,Hombres,2009,45.282
Cuba,TOTAL,Hombres,2008,41.589
Cuba,TOTAL,Hombres,2007,37.072
Cuba,TOTAL,Hombres,2006,35.420
Cuba,TOTAL,Hombres,2005,34.394
Cuba,TOTAL,Hombres,2004,30.931
Cuba,TOTAL,Hombres,2003,29.453
Cuba,TOTAL,Hombres,2002,25.486
Cuba,TOTAL,Hombres,2001,21.297
Cuba,TOTAL,Hombres,2000,17.440
Cuba,TOTAL,Hombres,1999,14.547
Cuba,TOTAL,Hombres,1998,13.450
Cuba,TOTAL,Mujeres,2022,96.695
Cuba,TOTAL,Mujeres,2021,91.155
Cuba,TOTAL,Mujeres,2020,90.392
Cuba,TOTAL,Mujeres,2019,83.596
Cuba,TOTAL,Mujeres,2018,78.439
Cuba,TOTAL,Mujeres,2017,76.019
Cuba,TOTAL,Mujeres,2016,74.315
Cuba,TOTAL,Mujeres,2015,72.548
Cuba,TOTAL,Mujeres,2014,70.862
Cuba,TOTAL,Mujeres,2013,68.738
Cuba,TOTAL,Mujeres,2012,65.946
Cuba,TOTAL,Mujeres,2011,61.082
Cuba,TOTAL,Mujeres,2010,57.460
Cuba,TOTAL,Mujeres,2009,55.169
Cuba,TOTAL,Mujeres,2008,50.994
Cuba,TOTAL,Mujeres,2007,46.049
Cuba,TOTAL,Mujeres,2006,43.808
Cuba,TOTAL,Mujeres,2005,42.131
Cuba,TOTAL,Mujeres,2004,38.117
Cuba,TOTAL,Mujeres,2003,36.284
Cuba,TOTAL,Mujeres,2002,32.184
Cuba,TOTAL,Mujeres,2001,27.793
Cuba,TOTAL,Mujeres,2000,23.197
Cuba,TOTAL,Mujeres,1999,19.505
Cuba,TOTAL,Mujeres,1998,17.773
Cuba,Nacionalidad Española,Ambos sexos,2022,110.451
Cuba,Nacionalidad Española,Ambos sexos,2021,102.156
Cuba,Nacionalidad Española,Ambos sexos,2020,97.552
Cuba,Nacionalidad Española,Ambos sexos,2019,93.028
Cuba,Nacionalidad Española,Ambos sexos,2018,89.726
Cuba,Nacionalidad Española,Ambos sexos,2017,88.925
Cuba,Nacionalidad Española,Ambos sexos,2016,85.478
Cuba,Nacionalidad Española,Ambos sexos,2015,82.589
Cuba,Nacionalidad Española,Ambos sexos,2014,75.958
Cuba,Nacionalidad Española,Ambos sexos,2013,68.056
Cuba,Nacionalidad Española,Ambos sexos,2012,63.030
Cuba,Nacionalidad Española,Ambos sexos,2011,54.265
Cuba,Nacionalidad Española,Ambos sexos,2010,47.381
Cuba,Nacionalidad Española,Ambos sexos,2009,43.717
Cuba,Nacionalidad Española,Ambos sexos,2008,39.889
Cuba,Nacionalidad Española,Ambos sexos,2007,35.786
Cuba,Nacionalidad Española,Ambos sexos,2006,33.110
Cuba,Nacionalidad Española,Ambos sexos,2005,30.441
Cuba,Nacionalidad Española,Ambos sexos,2004,28.547
Cuba,Nacionalidad Española,Ambos sexos,2003,26.677
Cuba,Nacionalidad Española,Ambos sexos,2002,25.287
Cuba,Nacionalidad Española,Ambos sexos,2001,24.154
Cuba,Nacionalidad Española,Ambos sexos,2000,22.753
Cuba,Nacionalidad Española,Ambos sexos,1999,21.033
Cuba,Nacionalidad Española,Ambos sexos,1998,20.754
Cuba,Nacionalidad Española,Hombres,2022,49.175
Cuba,Nacionalidad Española,Hombres,2021,45.530
Cuba,Nacionalidad Española,Hombres,2020,43.484
Cuba,Nacionalidad Española,Hombres,2019,41.344
Cuba,Nacionalidad Española,Hombres,2018,39.911
Cuba,Nacionalidad Española,Hombres,2017,39.600
Cuba,Nacionalidad Española,Hombres,2016,38.242
Cuba,Nacionalidad Española,Hombres,2015,36.968
Cuba,Nacionalidad Española,Hombres,2014,34.201
Cuba,Nacionalidad Española,Hombres,2013,30.908
Cuba,Nacionalidad Española,Hombres,2012,28.691
Cuba,Nacionalidad Española,Hombres,2011,24.603
Cuba,Nacionalidad Española,Hombres,2010,21.270
Cuba,Nacionalidad Española,Hombres,2009,19.606
Cuba,Nacionalidad Española,Hombres,2008,17.807
Cuba,Nacionalidad Española,Hombres,2007,15.935
Cuba,Nacionalidad Española,Hombres,2006,14.685
Cuba,Nacionalidad Española,Hombres,2005,13.506
Cuba,Nacionalidad Española,Hombres,2004,12.600
Cuba,Nacionalidad Española,Hombres,2003,11.734
Cuba,Nacionalidad Española,Hombres,2002,11.111
Cuba,Nacionalidad Española,Hombres,2001,10.571
Cuba,Nacionalidad Española,Hombres,2000,9.913
Cuba,Nacionalidad Española,Hombres,1999,9.052
Cuba,Nacionalidad Española,Hombres,1998,8.966
Cuba,Nacionalidad Española,Mujeres,2022,61.276
Cuba,Nacionalidad Española,Mujeres,2021,56.626
Cuba,Nacionalidad Española,Mujeres,2020,54.068
Cuba,Nacionalidad Española,Mujeres,2019,51.684
Cuba,Nacionalidad Española,Mujeres,2018,49.815
Cuba,Nacionalidad Española,Mujeres,2017,49.325
Cuba,Nacionalidad Española,Mujeres,2016,47.236
Cuba,Nacionalidad Española,Mujeres,2015,45.621
Cuba,Nacionalidad Española,Mujeres,2014,41.757
Cuba,Nacionalidad Española,Mujeres,2013,37.148
Cuba,Nacionalidad Española,Mujeres,2012,34.339
Cuba,Nacionalidad Española,Mujeres,2011,29.662
Cuba,Nacionalidad Española,Mujeres,2010,26.111
Cuba,Nacionalidad Española,Mujeres,2009,24.111
Cuba,Nacionalidad Española,Mujeres,2008,22.082
Cuba,Nacionalidad Española,Mujeres,2007,19.851
Cuba,Nacionalidad Española,Mujeres,2006,18.425
Cuba,Nacionalidad Española,Mujeres,2005,16.935
Cuba,Nacionalidad Española,Mujeres,2004,15.947
Cuba,Nacionalidad Española,Mujeres,2003,14.943
Cuba,Nacionalidad Española,Mujeres,2002,14.176
Cuba,Nacionalidad Española,Mujeres,2001,13.583
Cuba,Nacionalidad Española,Mujeres,2000,12.840
Cuba,Nacionalidad Española,Mujeres,1999,11.981
Cuba,Nacionalidad Española,Mujeres,1998,11.787
Cuba,Nacionalidad Extranjera,Ambos sexos,2022,66.349
Cuba,Nacionalidad Extranjera,Ambos sexos,2021,64.371
Cuba,Nacionalidad Extranjera,Ambos sexos,2020,67.301
Cuba,Nacionalidad Extranjera,Ambos sexos,2019,58.395
Cuba,Nacionalidad Extranjera,Ambos sexos,2018,51.622
Cuba,Nacionalidad Extranjera,Ambos sexos,2017,47.822
Cuba,Nacionalidad Extranjera,Ambos sexos,2016,48.525
Cuba,Nacionalidad Extranjera,Ambos sexos,2015,48.656
Cuba,Nacionalidad Extranjera,Ambos sexos,2014,52.683
Cuba,Nacionalidad Extranjera,Ambos sexos,2013,57.096
Cuba,Nacionalidad Extranjera,Ambos sexos,2012,57.266
Cuba,Nacionalidad Extranjera,Ambos sexos,2011,56.920
Cuba,Nacionalidad Extranjera,Ambos sexos,2010,57.111
Cuba,Nacionalidad Extranjera,Ambos sexos,2009,56.734
Cuba,Nacionalidad Extranjera,Ambos sexos,2008,52.694
Cuba,Nacionalidad Extranjera,Ambos sexos,2007,47.335
Cuba,Nacionalidad Extranjera,Ambos sexos,2006,46.118
Cuba,Nacionalidad Extranjera,Ambos sexos,2005,46.084
Cuba,Nacionalidad Extranjera,Ambos sexos,2004,40.501
Cuba,Nacionalidad Extranjera,Ambos sexos,2003,39.060
Cuba,Nacionalidad Extranjera,Ambos sexos,2002,32.383
Cuba,Nacionalidad Extranjera,Ambos sexos,2001,24.936
Cuba,Nacionalidad Extranjera,Ambos sexos,2000,17.884
Cuba,Nacionalidad Extranjera,Ambos sexos,1999,13.018
Cuba,Nacionalidad Extranjera,Ambos sexos,1998,10.469
Cuba,Nacionalidad Extranjera,Hombres,2022,30.930
Cuba,Nacionalidad Extranjera,Hombres,2021,29.842
Cuba,Nacionalidad Extranjera,Hombres,2020,30.977
Cuba,Nacionalidad Extranjera,Hombres,2019,26.483
Cuba,Nacionalidad Extranjera,Hombres,2018,22.998
Cuba,Nacionalidad Extranjera,Hombres,2017,21.128
Cuba,Nacionalidad Extranjera,Hombres,2016,21.446
Cuba,Nacionalidad Extranjera,Hombres,2015,21.729
Cuba,Nacionalidad Extranjera,Hombres,2014,23.578
Cuba,Nacionalidad Extranjera,Hombres,2013,25.506
Cuba,Nacionalidad Extranjera,Hombres,2012,25.659
Cuba,Nacionalidad Extranjera,Hombres,2011,25.500
Cuba,Nacionalidad Extranjera,Hombres,2010,25.762
Cuba,Nacionalidad Extranjera,Hombres,2009,25.676
Cuba,Nacionalidad Extranjera,Hombres,2008,23.782
Cuba,Nacionalidad Extranjera,Hombres,2007,21.137
Cuba,Nacionalidad Extranjera,Hombres,2006,20.735
Cuba,Nacionalidad Extranjera,Hombres,2005,20.888
Cuba,Nacionalidad Extranjera,Hombres,2004,18.331
Cuba,Nacionalidad Extranjera,Hombres,2003,17.719
Cuba,Nacionalidad Extranjera,Hombres,2002,14.375
Cuba,Nacionalidad Extranjera,Hombres,2001,10.726
Cuba,Nacionalidad Extranjera,Hombres,2000,7.527
Cuba,Nacionalidad Extranjera,Hombres,1999,5.494
Cuba,Nacionalidad Extranjera,Hombres,1998,4.484
Cuba,Nacionalidad Extranjera,Mujeres,2022,35.419
Cuba,Nacionalidad Extranjera,Mujeres,2021,34.529
Cuba,Nacionalidad Extranjera,Mujeres,2020,36.324
Cuba,Nacionalidad Extranjera,Mujeres,2019,31.912
Cuba,Nacionalidad Extranjera,Mujeres,2018,28.624
Cuba,Nacionalidad Extranjera,Mujeres,2017,26.694
Cuba,Nacionalidad Extranjera,Mujeres,2016,27.079
Cuba,Nacionalidad Extranjera,Mujeres,2015,26.927
Cuba,Nacionalidad Extranjera,Mujeres,2014,29.105
Cuba,Nacionalidad Extranjera,Mujeres,2013,31.590
Cuba,Nacionalidad Extranjera,Mujeres,2012,31.607
Cuba,Nacionalidad Extranjera,Mujeres,2011,31.420
Cuba,Nacionalidad Extranjera,Mujeres,2010,31.349
Cuba,Nacionalidad Extranjera,Mujeres,2009,31.058
Cuba,Nacionalidad Extranjera,Mujeres,2008,28.912
Cuba,Nacionalidad Extranjera,Mujeres,2007,26.198
Cuba,Nacionalidad Extranjera,Mujeres,2006,25.383
Cuba,Nacionalidad Extranjera,Mujeres,2005,25.196
Cuba,Nacionalidad Extranjera,Mujeres,2004,22.170
Cuba,Nacionalidad Extranjera,Mujeres,2003,21.341
Cuba,Nacionalidad Extranjera,Mujeres,2002,18.008
Cuba,Nacionalidad Extranjera,Mujeres,2001,14.210
Cuba,Nacionalidad Extranjera,Mujeres,2000,10.357
Cuba,Nacionalidad Extranjera,Mujeres,1999,7.524
Cuba,Nacionalidad Extranjera,Mujeres,1998,5.985
Dominica,TOTAL,Ambos sexos,2022,876
Dominica,TOTAL,Ambos sexos,2021,811
Dominica,TOTAL,Ambos sexos,2020,797
Dominica,TOTAL,Ambos sexos,2019,795
Dominica,TOTAL,Ambos sexos,2018,809
Dominica,TOTAL,Ambos sexos,2017,796
Dominica,TOTAL,Ambos sexos,2016,806
Dominica,TOTAL,Ambos sexos,2015,794
Dominica,TOTAL,Ambos sexos,2014,811
Dominica,TOTAL,Ambos sexos,2013,870
Dominica,TOTAL,Ambos sexos,2012,866
Dominica,TOTAL,Ambos sexos,2011,845
Dominica,TOTAL,Ambos sexos,2010,889
Dominica,TOTAL,Ambos sexos,2009,865
Dominica,TOTAL,Ambos sexos,2008,802
Dominica,TOTAL,Ambos sexos,2007,765
Dominica,TOTAL,Ambos sexos,2006,797
Dominica,TOTAL,Ambos sexos,2005,797
Dominica,TOTAL,Ambos sexos,2004,766
Dominica,TOTAL,Ambos sexos,2003,723
Dominica,TOTAL,Ambos sexos,2002,732
Dominica,TOTAL,Ambos sexos,2001,658
Dominica,TOTAL,Ambos sexos,2000,564
Dominica,TOTAL,Ambos sexos,1999,499
Dominica,TOTAL,Ambos sexos,1998,514
Dominica,TOTAL,Hombres,2022,287
Dominica,TOTAL,Hombres,2021,262
Dominica,TOTAL,Hombres,2020,257
Dominica,TOTAL,Hombres,2019,255
Dominica,TOTAL,Hombres,2018,255
Dominica,TOTAL,Hombres,2017,259
Dominica,TOTAL,Hombres,2016,262
Dominica,TOTAL,Hombres,2015,252
Dominica,TOTAL,Hombres,2014,272
Dominica,TOTAL,Hombres,2013,291
Dominica,TOTAL,Hombres,2012,297
Dominica,TOTAL,Hombres,2011,277
Dominica,TOTAL,Hombres,2010,303
Dominica,TOTAL,Hombres,2009,297
Dominica,TOTAL,Hombres,2008,278
Dominica,TOTAL,Hombres,2007,238
Dominica,TOTAL,Hombres,2006,249
Dominica,TOTAL,Hombres,2005,251
Dominica,TOTAL,Hombres,2004,234
Dominica,TOTAL,Hombres,2003,209
Dominica,TOTAL,Hombres,2002,209
Dominica,TOTAL,Hombres,2001,194
Dominica,TOTAL,Hombres,2000,152
Dominica,TOTAL,Hombres,1999,139
Dominica,TOTAL,Hombres,1998,140
Dominica,TOTAL,Mujeres,2022,589
Dominica,TOTAL,Mujeres,2021,549
Dominica,TOTAL,Mujeres,2020,540
Dominica,TOTAL,Mujeres,2019,540
Dominica,TOTAL,Mujeres,2018,554
Dominica,TOTAL,Mujeres,2017,537
Dominica,TOTAL,Mujeres,2016,544
Dominica,TOTAL,Mujeres,2015,542
Dominica,TOTAL,Mujeres,2014,539
Dominica,TOTAL,Mujeres,2013,579
Dominica,TOTAL,Mujeres,2012,569
Dominica,TOTAL,Mujeres,2011,568
Dominica,TOTAL,Mujeres,2010,586
Dominica,TOTAL,Mujeres,2009,568
Dominica,TOTAL,Mujeres,2008,524
Dominica,TOTAL,Mujeres,2007,527
Dominica,TOTAL,Mujeres,2006,548
Dominica,TOTAL,Mujeres,2005,546
Dominica,TOTAL,Mujeres,2004,532
Dominica,TOTAL,Mujeres,2003,514
Dominica,TOTAL,Mujeres,2002,523
Dominica,TOTAL,Mujeres,2001,464
Dominica,TOTAL,Mujeres,2000,412
Dominica,TOTAL,Mujeres,1999,360
Dominica,TOTAL,Mujeres,1998,374
Dominica,Nacionalidad Española,Ambos sexos,2022,502
Dominica,Nacionalidad Española,Ambos sexos,2021,483
Dominica,Nacionalidad Española,Ambos sexos,2020,478
Dominica,Nacionalidad Española,Ambos sexos,2019,481
Dominica,Nacionalidad Española,Ambos sexos,2018,485
Dominica,Nacionalidad Española,Ambos sexos,2017,470
Dominica,Nacionalidad Española,Ambos sexos,2016,437
Dominica,Nacionalidad Española,Ambos sexos,2015,431
Dominica,Nacionalidad Española,Ambos sexos,2014,404
Dominica,Nacionalidad Española,Ambos sexos,2013,391
Dominica,Nacionalidad Española,Ambos sexos,2012,389
Dominica,Nacionalidad Española,Ambos sexos,2011,360
Dominica,Nacionalidad Española,Ambos sexos,2010,343
Dominica,Nacionalidad Española,Ambos sexos,2009,335
Dominica,Nacionalidad Española,Ambos sexos,2008,316
Dominica,Nacionalidad Española,Ambos sexos,2007,300
Dominica,Nacionalidad Española,Ambos sexos,2006,275
Dominica,Nacionalidad Española,Ambos sexos,2005,264
Dominica,Nacionalidad Española,Ambos sexos,2004,261
Dominica,Nacionalidad Española,Ambos sexos,2003,230
Dominica,Nacionalidad Española,Ambos sexos,2002,223
Dominica,Nacionalidad Española,Ambos sexos,2001,218
Dominica,Nacionalidad Española,Ambos sexos,2000,202
Dominica,Nacionalidad Española,Ambos sexos,1999,174
Dominica,Nacionalidad Española,Ambos sexos,1998,173
Dominica,Nacionalidad Española,Hombres,2022,142
Dominica,Nacionalidad Española,Hombres,2021,137
Dominica,Nacionalidad Española,Hombres,2020,134
Dominica,Nacionalidad Española,Hombres,2019,138
Dominica,Nacionalidad Española,Hombres,2018,144
Dominica,Nacionalidad Española,Hombres,2017,142
Dominica,Nacionalidad Española,Hombres,2016,131
Dominica,Nacionalidad Española,Hombres,2015,122
Dominica,Nacionalidad Española,Hombres,2014,115
Dominica,Nacionalidad Española,Hombres,2013,116
Dominica,Nacionalidad Española,Hombres,2012,116
Dominica,Nacionalidad Española,Hombres,2011,102
Dominica,Nacionalidad Española,Hombres,2010,103
Dominica,Nacionalidad Española,Hombres,2009,99
Dominica,Nacionalidad Española,Hombres,2008,95
Dominica,Nacionalidad Española,Hombres,2007,85
Dominica,Nacionalidad Española,Hombres,2006,72
Dominica,Nacionalidad Española,Hombres,2005,70
Dominica,Nacionalidad Española,Hombres,2004,73
Dominica,Nacionalidad Española,Hombres,2003,66
Dominica,Nacionalidad Española,Hombres,2002,64
Dominica,Nacionalidad Española,Hombres,2001,66
Dominica,Nacionalidad Española,Hombres,2000,53
Dominica,Nacionalidad Española,Hombres,1999,48
Dominica,Nacionalidad Española,Hombres,1998,45
Dominica,Nacionalidad Española,Mujeres,2022,360
Dominica,Nacionalidad Española,Mujeres,2021,346
Dominica,Nacionalidad Española,Mujeres,2020,344
Dominica,Nacionalidad Española,Mujeres,2019,343
Dominica,Nacionalidad Española,Mujeres,2018,341
Dominica,Nacionalidad Española,Mujeres,2017,328
Dominica,Nacionalidad Española,Mujeres,2016,306
Dominica,Nacionalidad Española,Mujeres,2015,309
Dominica,Nacionalidad Española,Mujeres,2014,289
Dominica,Nacionalidad Española,Mujeres,2013,275
Dominica,Nacionalidad Española,Mujeres,2012,273
Dominica,Nacionalidad Española,Mujeres,2011,258
Dominica,Nacionalidad Española,Mujeres,2010,240
Dominica,Nacionalidad Española,Mujeres,2009,236
Dominica,Nacionalidad Española,Mujeres,2008,221
Dominica,Nacionalidad Española,Mujeres,2007,215
Dominica,Nacionalidad Española,Mujeres,2006,203
Dominica,Nacionalidad Española,Mujeres,2005,194
Dominica,Nacionalidad Española,Mujeres,2004,188
Dominica,Nacionalidad Española,Mujeres,2003,164
Dominica,Nacionalidad Española,Mujeres,2002,159
Dominica,Nacionalidad Española,Mujeres,2001,152
Dominica,Nacionalidad Española,Mujeres,2000,149
Dominica,Nacionalidad Española,Mujeres,1999,126
Dominica,Nacionalidad Española,Mujeres,1998,128
Dominica,Nacionalidad Extranjera,Ambos sexos,2022,374
Dominica,Nacionalidad Extranjera,Ambos sexos,2021,328
Dominica,Nacionalidad Extranjera,Ambos sexos,2020,319
Dominica,Nacionalidad Extranjera,Ambos sexos,2019,314
Dominica,Nacionalidad Extranjera,Ambos sexos,2018,324
